Date,Time,Latitude,Longitude,Magnitude,Epicenter
2072-9-16,07:41,27.86,85.72,4.3,Sindhupalchowk
2072-9-14,03:52,27.7,86.12,4.2,Dolakha
2072-9-12,10:33,29.35,81.29,4.1,Bajura
2072-9-8,08:59,27.79,86.08,4.1,Dolakha
2072-9-3,04:01,29.44,81.69,5.5,Bajura
2072-8-27,08:45,28.04,85.02,4.1,Dhading
2072-8-21,07:27,27.86,86.19,4,Dolakha
2072-8-14,06:10,27.78,85.39,4.1,Kathmandu
2072-8-11,16:22,27.11,87.95,4.6,Panchthar
2072-8-11,15:23,27.63,85.53,4.1,kavrepalanchok
2072-8-10,00:42,27.87,85.77,4.1,Sindhupalchowk
2072-8-9,11:56,28.24,84.75,7.6,Gorkha
2072-8-8,18:09,28.15,84.81,4.4,Gorkha
2072-8-8,17:00,27.87,85.29,4,Nuwakot
2072-8-7,19:11,28.43,83.3,4.1,Myagdi
2072-8-5,13:45,28.35,83.36,4,Baglung
2072-8-3,17:44,27.77,85.88,4,Sindhupalchok
2072-8-3,10:00,27.89,85.75,5.3,Sindupalchok
2072-8-1,18:55,28.02,85.28,4.3,Rasuwa
2072-7-26,15:45,27.99,85.65,4.2,Sindupalchok
2072-7-14,09:28,28.03,85.23,4.3,Rasuwa
2072-6-30,23:46,27.8,86.3,4.2,Dolakha
2072-6-29,14:28,27.71,86.16,4.2,Dolakha
2072-6-21,21:58,27.96,85.54,4.1,Sindupalchowk
2072-6-21,13:00,27.57,85.31,4,Lalitpur
2072-6-21,05:15,27.68,86.08,4.2,Dolakha
2072-6-19,17:47,27.69,86.09,4.2,Dolakha
2072-6-18,13:21,27.71,86.1,4.2,Dolakha
2072-6-18,13:18,27.71,86.15,4.8,Dolakha
2072-6-13,15:12,29.83,80.6,4.6,Darchula
2072-6-12,16:39,27.77,85.87,4.6,Sindhupalchowk
2072-6-5,12:17,27.74,85.07,4.5,Dhading
2072-6-4,04:05,27.76,86.37,4,Dolakha
2072-5-30,20:37,27.6,86.19,4.2,Dolakha
2072-5-23,18:23,27.82,86.24,4,Dolakha
2072-5-18,05:10,27.75,86.01,4.3,Sindhupalchowk
2072-5-17,04:51,27.64,86.19,4.4,Dolakha
2072-5-14,23:33,27.92,85.69,4.2,Sindhupalchowk
2072-5-14,03:09,27.92,84.94,4.3,Dhading
2072-5-13,19:02,27.72,85.75,5,Sindhupalchowk
2072-5-13,08:26,27.66,86.23,4.1,Dolakha
2072-5-11,00:51,27.85,85.74,4.2,Sindhupalchowk
2072-5-10,06:07,28.12,84.89,4.1,Gorkha
2072-5-10,13:31,30.11,81.53,4.1,Humla
2072-5-8,15:08,27.68,86.22,4,Dolakha
2072-5-6,14:47,27.87,86.17,5.1,Dolakha
2072-5-4,12:21,27.96,85.48,4,Nuwakot
2072-5-3,11:47,28,85.29,4.6,Rasuwa
2072-5-2,04:08,27.93,86.14,4.8,Dolakha
2072-4-30,23:56,27.71,86.05,4.8,Dolakha
2072-4-30,10:10,27.87,86.08,4.1,Dolakha
2072-4-29,18:47,27.59,85.97,4.3,Dolakha
2072-4-29,01:49,27.72,85.2,4,Kathmandu
2072-4-26,10:42,27.7,85.29,4.3,Kathmandu
2072-4-26,04:15,28.14,84.72,4.9,Gorkha
2072-4-25,00:21,30.1,81.85,4,Humla
2072-4-24,07:55,27.94,85.52,4.1,Sindupalchok
2072-4-23,21:25,27.69,86.26,4.1,Dolakha
2072-4-23,06:24,27.77,85.7,4,Sindupalchok
2072-4-22,11:57,27.5,85.5,4.4,Kavre
2072-4-21,20:36,27.86,85.76,4.1,Sindupalchok
2072-4-20,17:38,27.63,86.07,4.1,Dolakha
2072-4-20,13:59,27.64,86.07,4.3,Dolakha
2072-4-16,07:22,27.81,85.71,4.2,Sindupalchok
2072-4-14,20:18,27.66,86.09,4.5,Dolakha
2072-4-12,21:23,27.59,86.17,4.1,Dolakha
2072-4-12,18:38,27.68,86.04,4,Dolakha
2072-4-12,09:21,27.8,85.75,4.1,Sindupalchok
2072-4-11,18:23,27.94,85.48,4.2,Nuwakot
